index,amount,price,symbol
2000-03-24,100,15.2348570237554,'F’
2000-05-19,-100,18.2807462389777,'F’
2000-07-12,100,16.5493865083125,'F’
2000-08-28,-100,15.9556795733892,'F’
2001-01-04,100,17.2631035197918,'F’
2001-03-28,-100,17.411751838209,'F’
2001-07-02,100,15.8402848010748,'F’
2001-08-09,-100,15.5252969935253,'F’
2001-10-22,100,10.5439402615554,'F’
2001-10-24,-100,10.2312779630464,'F’
2001-11-20,100,11.4472516497574,'F’
2001-12-14,-100,10.3535231412706,'F’
2002-02-26,100,10.1145737368006,'F’
2002-04-03,-100,9.75146930065405,'F’
2002-04-26,100,10.6131541889941,'F’
2002-06-14,-100,10.3536109440573,'F’
2002-11-01,100,5.70866174465806,'F’
2002-11-04,-100,5.68822637185948,'F’
2002-11-07,100,6.18046556755762,'F’
2002-12-24,-100,6.37931929554335,'F’
2003-04-03,100,5.34587444826277,'F’
2003-05-28,-100,6.95052696379691,'F’
2003-06-03,100,7.47994511323707,'F’
2003-07-11,-100,7.65575116305045,'F’
2003-08-20,100,7.70022340101022,'F’
2003-09-26,-100,7.52861843654332,'F’
2003-10-14,100,8.17931730151752,'F’
2004-01-29,-100,10.3040086883666,'F’
2004-04-06,100,9.74209311979669,'F’
2004-05-19,-100,9.83768056031207,'F’
2004-06-07,100,10.6766192444296,'F’
2004-07-09,-100,10.5922753760178,'F’
2004-09-14,100,9.88363853497645,'F’
2004-09-21,-100,10.009755256421,'F’
2004-11-10,100,10.0303115349797,'F’
2005-01-14,-100,9.96601768069364,'F’
2005-05-19,100,7.26969031605634,'F’
2005-07-06,-100,7.47131278760508,'F’
2005-07-15,100,7.94102566798607,'F’
2005-08-12,-100,7.38749612777634,'F’
2005-12-16,100,6.13005139943313,'F’
2005-12-23,-100,5.8271306926019,'F’
2006-03-28,100,6.1348302907125,'F’
2006-04-10,-100,5.61194206644258,'F’
2006-08-02,100,5.30618968800794,'F’
2006-09-26,-100,6.41104170634293,'F’
2006-10-26,100,6.60974275790644,'F’
2006-12-01,-100,6.12898636373331,'F’
2007-01-09,100,5.99227025111242,'F’
2007-02-28,-100,6.02988583795155,'F’
2007-03-30,100,6.11424012899766,'F’
2007-04-25,-100,6.00701648584807,'F’
2007-05-03,100,6.27432559372203,'F’
2007-06-07,-100,6.14423259846897,'F’
2007-06-20,100,6.76982822263082,'F’
2007-07-19,-100,6.57875028843513,'F’
2007-09-20,100,6.4039185889751,'F’
2007-11-12,-100,5.99939336848024,'F’
2008-02-01,100,5.26045098380098,'F’
2008-03-03,-100,4.7110865333174,'F’
2008-04-04,100,4.97077252382353,'F’
2008-05-27,-100,5.1837198101227,'F’
2008-09-18,100,4.07886779178771,'F’
2008-10-06,-100,2.81293030872835,'F’
2008-12-03,100,2.26456585824477,'F’
2009-01-02,-100,1.87528687248557,'F’
2009-03-05,100,1.5251234735655,'F’
2009-06-24,-100,4.29181507808688,'F’
2009-07-21,100,4.80306394173132,'F’
2009-09-01,-100,5.51913697430711,'F’
2009-10-15,100,5.90079284269849,'F’
2009-11-05,-100,5.67922243903149,'F’
2009-11-09,100,6.23621000688289,'F’
2010-02-10,-100,8.33969040040329,'F’
2010-02-24,100,9.05676343297907,'F’
2010-04-08,-100,9.62799723556613,'F’
2010-04-22,100,10.8481960144185,'F’
2010-05-06,-100,8.9800322593008,'F’
2010-07-19,100,8.82044679457642,'F’
2010-08-20,-100,8.97240914193297,'F’
2010-09-17,100,9.55988917925569,'F’
2011-02-01,-100,12.1131334974779,'F’
2011-03-31,100,11.3970604649021,'F’
2011-05-13,-100,11.4956609906839,'F’
2011-10-11,100,8.60699950827725,'F’
2011-11-11,-100,8.49215274775984,'F’
2011-12-12,100,8.30207481356415,'F’
2011-12-20,-100,7.87468024096581,'F’
2011-12-29,100,8.19535117041456,'F’
2012-02-24,-100,9.35966230749688,'F’
2012-03-20,100,9.65097765311003,'F’
2012-03-29,-100,9.56629426359044,'F’
2012-06-18,100,7.99411205166788,'F’
2012-06-25,-100,7.69385159973034,'F’
2012-08-14,100,7.46573208705734,'F’
2012-10-09,-100,7.80526336224422,'F’
2012-10-18,100,8.16897858801202,'F’
2013-02-05,-100,10.3102457131474,'F’
2013-04-23,100,10.5219571200176,'F’
2013-06-25,-100,11.7965424582196,'F’
2013-07-05,100,13.191824031436,'F’
2013-08-16,-100,12.9202433333618,'F’
2013-09-11,100,13.9353399837632,'F’
2013-10-08,-100,13.078774728788,'F’
2013-10-22,100,14.0146052851498,'F’
2013-11-08,-100,13.4324808537203,'F’
2014-01-16,100,13.3612346651841,'F’
2014-02-04,-100,11.9490796522684,'F’
2014-03-05,100,12.592435316143,'F’
2014-05-08,-100,12.803719476382,'F’
2014-05-22,100,12.9823871606656,'F’
2014-08-06,-100,13.8497761497336,'F’
2014-08-25,100,14.1031291801337,'F’
2014-09-10,-100,13.564297027108,'F’
2014-11-10,100,11.6859179123084,'F’
2014-12-17,-100,11.8911471009054,'F’
2015-02-05,100,13.3181481033076,'F’
2015-03-16,-100,13.7083656194471,'F’
2015-08-04,100,12.7163893310261,'F’
2015-08-21,-100,11.7494817418681,'F’
2015-10-08,100,12.7248665905801,'F’
2015-11-10,-100,12.2287172127753,'F’
2016-02-23,100,10.9675430242161,'F’
2016-04-06,-100,11.1144262111028,'F’
2016-04-22,100,11.9472077370512,'F’
2016-05-20,-100,11.5613249272227,'F’
2016-07-15,100,11.9825554780238,'F’
2016-08-04,-100,10.7044862470093,'F’
2016-09-06,100,11.2278046978152,'F’
2016-09-20,-100,10.6335956096119,'F’
2016-11-17,100,10.7306870470292,'F’
2017-01-20,-100,11.2225520399402,'F’
2017-01-24,100,11.4500454064438,'F’
2017-02-02,-100,11.149914162659,'F’
2017-02-16,100,11.4772846104243,'F’
2017-03-17,-100,11.3315088558619,'F’
2017-06-06,100,10.306855418007,'F’
2017-06-30,-100,10.2971533149552,'F’
2017-07-03,100,10.7577584675448,'F’
2017-08-03,-100,10.1870668543878,'F’
2017-09-05,100,10.6162997686622,'F’
2017-11-16,-100,11.3609593004181,'F’
2017-11-30,100,11.9370560756054,'F’
2018-01-23,-100,11.2854711987542,'F’
2018-03-15,100,10.7544775264412,'F’
2018-06-28,-100,10.9273236925084,'F’
2018-11-02,100,9.4505,'F’
2018-12-06,-100,9.02,'F’
